날짜,시간,행동,파일
2025년 02월 20일,11시 05분 07초 001105,LYING,resources/placeholder.gif
2025년 02월 20일,11시 05분 06초 001105,WALK,resources/placeholder.gif
2025년 02월 20일,11시 05분 04초 001105,LYING,resources/placeholder.gif
