날짜,시간,행동,파일
2025년 02월 25일,17시 57분 29초 001105,WALK,captures\2025-02-25 17_57_14_264947.gif
2025년 02월 25일,17시 57분 28초 001105,SIT,captures\2025-02-25 17_57_14_264947.gif
2025년 02월 25일,17시 57분 27초 001105,WALK,captures\2025-02-25 17_57_14_264947.gif
2025년 02월 25일,17시 57분 26초 001105,강아지 없음,captures\2025-02-25 17_57_14_264947.gif
2025년 02월 25일,17시 57분 23초 001105,WALK,captures\2025-02-25 17_57_14_264947.gif
2025년 02월 25일,17시 57분 16초 001105,SIT,captures\2025-02-25 17_57_14_264947.gif
2025년 02월 25일,17시 57분 14초 001105,WALK,captures\2025-02-25 17_57_14_264947.gif
