날짜,시간,행동,파일
2025년 02월 26일,12시 22분 00초 254396,WALK,captures\2025-02-26 12_22_00_254396.gif
2025년 02월 26일,12시 07분 27초 092012,WALK,captures\2025-02-26 12_07_27_092012.gif
2025년 02월 26일,12시 04분 20초 515910,WALK,captures\2025-02-26 12_04_20_515910.gif
2025년 02월 26일,11시 59분 09초 084813,SIT,captures\2025-02-26 11_59_09_084813.gif
2025년 02월 26일,10시 24분 36초 561308,FEETUP,captures\2025-02-26 10_24_36_561308.gif
2025년 02월 26일,10시 16분 09초 404869,WALK,captures\2025-02-26 10_16_09_404869.gif
2025년 02월 26일,10시 07분 58초 277481,WALK,captures\2025-02-26 10_07_58_277481.gif
2025년 02월 26일,10시 03분 32초 631781,강아지 없음,captures\2025-02-26 10_03_32_631781.gif
2025년 02월 26일,09시 53분 50초 149845,WALK,captures\2025-02-26 09_53_50_149845.gif
2025년 02월 26일,09시 53분 48초 313577,LYING,captures\2025-02-26 09_53_48_313577.gif
2025년 02월 26일,09시 53분 47초 286998,WALK,captures\2025-02-26 09_53_47_286998.gif
2025년 02월 26일,09시 53분 46초 155952,LYING,captures\2025-02-26 09_53_46_155952.gif
2025년 02월 26일,09시 53분 45초 369949,FEETUP,captures\2025-02-26 09_53_45_369949.gif
2025년 02월 26일,09시 53분 38초 184872,LYING,captures\2025-02-26 09_53_38_184872.gif
2025년 02월 26일,09시 53분 37초 139208,FEETUP,captures\2025-02-26 09_53_37_139208.gif
2025년 02월 26일,09시 53분 36초 228672,LYING,captures\2025-02-26 09_53_36_228672.gif
2025년 02월 26일,09시 53분 35초 224495,FEETUP,captures\2025-02-26 09_53_35_224495.gif
2025년 02월 26일,09시 53분 34초 332893,WALK,captures\2025-02-26 09_53_34_332893.gif
2025년 02월 26일,09시 53분 32초 892358,LYING,captures\2025-02-26 09_53_32_892358.gif
2025년 02월 26일,09시 48분 30초 748190,WALK,captures\2025-02-26 09_48_30_748190.gif
2025년 02월 26일,09시 48분 29초 635909,WALK,captures\2025-02-26 09_48_29_635909.gif
2025년 02월 26일,09시 48분 28초 664172,WALK,captures\2025-02-26 09_48_28_664172.gif
2025년 02월 26일,09시 48분 27초 771911,WALK,captures\2025-02-26 09_48_27_771911.gif
2025년 02월 26일,09시 48분 26초 695765,WALK,captures\2025-02-26 09_48_26_695765.gif
2025년 02월 26일,09시 48분 25초 777893,WALK,captures\2025-02-26 09_48_25_777893.gif
